74	63
114	31
126	2
126	125
130	70
154	36
157	11
159	100
169	36
175	134
189	122
195	22
199	44
212	179
215	131
218	103
220	67
226	99
240	39
246	31
247	20
263	43
269	137
272	102
275	24
278	229
292	39
293	199
293	261
300	90
301	200
303	7
307	110
311	57
312	56
314	70
325	269
335	119
336	152
345	269
346	48
346	62
355	159
356	20
358	157
361	152
373	112
382	153
384	220
387	363
392	316
398	0
398	256
399	19
399	367
401	215
402	81
414	25
417	327
419	14
420	223
426	108
432	80
448	110
450	243
453	279
463	383
465	312
466	66
469	12
478	108
479	286
480	379
483	190
491	123
493	448
499	71
500	200
509	238
509	265
516	507
519	75
522	391
524	2
525	407
535	290
536	171
536	440
537	516
540	274
541	368
543	208
545	287
546	75
547	332
547	425
559	416
572	548
575	360
576	491
588	197
593	554
595	405
597	396
598	574
599	38
600	250
605	274
605	452
607	216
607	590
608	233
610	67
612	275
614	352
630	126
632	621
635	183
635	214
635	597
639	356
640	557
641	371
642	592
646	174
646	246
647	344
649	553
653	417
654	376
658	440
658	618
664	344
669	163
670	175
670	530
674	430
675	361
677	124
677	526
678	574
679	598
680	572
690	342
690	674
692	41
695	686
697	490
704	411
709	116
710	25
713	234
716	234
723	448
724	405
724	452
727	393
728	536
732	274
737	350
738	291
739	138
744	664
747	734
756	282
759	271
759	464
759	694
760	590
761	452
765	417
767	694
770	537
775	3
785	375
787	759
789	709
792	259
796	131
797	42
799	522
800	735
801	669
802	71
806	22
809	134
812	49
812	386
814	356
815	352
815	395
825	155
826	205
827	423
828	347
830	523
831	277
832	478
837	515
842	537
843	834
846	260
853	124
854	207
855	496
858	65
858	508
860	204
860	294
862	730
867	778
868	537
870	323
870	765
871	816
876	276
879	818
880	734
891	878
895	889
896	149
897	57
898	290
903	252
904	636
904	760
907	884
908	338
909	572
912	694
914	744
926	481
929	220
930	762
933	342
934	587
939	346
943	843
944	520
945	361
945	770
947	345
948	50
957	446
958	479
959	169
963	49
963	251
964	922
967	285
969	285
975	157
975	548
977	960
978	169
981	791
986	771
987	800
989	275
989	786
991	34
994	598
995	155
995	264
996	249
996	664
1001	19
1002	455
1004	454
1006	855
1006	906
1007	53
1007	366
1009	61
1018	785
1018	874
1018	1009
1020	12
1025	3
1035	139
1036	624
1036	740
1038	1010
1041	855
1049	525
1058	745
1058	855
1059	27
1061	923
1065	75
1065	725
1067	289
1068	375
1068	380
1068	532
1069	848
1069	996
1072	1049
1075	65
1075	930
1077	788
1080	823
1081	629
1081	908
1085	157
1085	741
1086	893
1087	4
1087	645
1088	383
1088	608
1089	942
1091	154
1093	685
1094	429
1094	604
1095	268
1098	285
1099	195
1100	560
1103	340
1105	946
1108	530
1111	1090
1113	410
1113	645
1116	65
1118	265
1118	1028
1121	365
1124	191
1125	585
1128	311
1138	546
1139	633
1141	847
1147	501
1147	540
1148	508
1149	95
1149	712
1155	534
1156	589
1157	1142
1162	38
1163	1049
1165	1075
1166	1007
1167	301
1168	27
1168	380
1169	757
1169	808
1173	586
1173	648
1174	368
1176	38
1176	840
1178	412
1181	842
1182	301
1182	1069
1183	9
1185	321
1189	1157
1190	55
1193	791
1197	1069
1200	641
1200	1037
1201	172
1202	284
1203	110
1205	130
1206	549
1206	612
1207	1002
1210	661
1214	235
1221	556
1221	1090
1223	3
1225	1065
1227	353
1227	914
1233	357
1241	309
1244	769
1247	10
1248	347
1248	484
1252	245
1252	865
1255	702
1256	1222
1258	953
1259	135
1261	1171
1262	182
1262	517
1264	111
1266	406
1268	689
1270	641
1271	1264
1273	1
1274	292
1274	854
1275	1088
1276	1110
1276	1141
1277	98
1278	372
1278	1193
1280	488
1283	5
1283	765
1283	947
1284	295
1286	1037
1286	1077
1287	163
1287	576
1289	700
1294	464
1294	545
1296	370
1296	973
1298	1293
1301	1138
1302	356
1304	442
1305	1006
1306	1157
1307	768
1307	1243
1307	1276
1308	915
1312	394
1314	143
1316	255
1316	861
1318	1292
1323	170
1323	331
1325	218
1325	675
1327	342
1332	835
1332	1110
1332	1154
1332	1262
1333	852
1334	686
1336	1235
1337	704
1339	416
1341	811
1341	868
1344	278
1346	117
1347	1219
1348	231
1348	306
1349	673
1349	1154
1350	130
1350	885
1352	307
1353	98
1354	737
1355	519
1356	1012
1357	204
1362	966
1363	1037
1365	1271
1365	1331
1368	564
1369	465
1369	1143
1370	211
1370	1000
1372	553
1372	1259
1374	706
1374	997
1375	143
1377	930
1378	414
1378	674
1379	332
1379	447
1380	570
1381	1353
1382	664
1382	1368
1385	868
1387	1375
1389	645
1390	898
1391	147
1391	694
1392	608
1392	1089
1393	574
1395	795
1399	658
1401	312
1401	403
1402	584
1402	936
1404	985
1405	471
1407	917
